time-s,2buten1ol(crotyl alcohol) Concentration Relative to CO,2butenalE(crotonaldehyde) Concentration Relative to CO,2buteneE Concentration Relative to CO,13butadiene Concentration Relative to CO,acetaldehyde Concentration Relative to CO,acetone Concentration Relative to CO,diethylether Concentration Relative to CO,ethanol Concentration Relative to CO
5618.562,3.004756596338857e-08,7.13885249105346e-08,6.585464158196315e-07,1.7353803234236247e-06,1.0076067409415692e-05,4.814404380115992e-07,9.028051639968629e-09,2.5810731916313504e-07
5638.531,3.175055000939515e-08,6.819222277741868e-08,6.707417198162914e-07,1.6624470953192717e-06,1.106883546093475e-05,5.05127043616002e-07,8.335391394793627e-09,2.560683044769478e-07
5658.5,1.0492113571255534e-08,7.054695422376625e-08,6.21960503829652e-07,1.608716880422539e-06,1.0310767735022594e-05,4.636544388600924e-07,1.0868778511632357e-08,2.466573762461332e-07
