# molecules ,2buten1ol(crotyl alcohol), 2butenalE(crotonaldehyde), 2buteneE, 13butadiene, acetaldehyde, acetone, diethylether, ethanol
ScaledConcentrations_Means,2.409674318134642e-08,7.00425673039065e-08,6.504162131551917e-07,1.6688480997218117e-06,1.0485223535124344e-05,4.834073068292312e-07,9.41074051546487e-09,2.53610999962072e-07
ScaledConcentrations_StdDevs,9.64501594213507e-09,1.3527481793826336e-09,2.072803101772156e-08,5.190784520823628e-08,4.236533336515387e-07,1.6988146181368203e-08,1.069065215507625e-09,4.986920045463732e-09
ScaledConcentrations_StdErrs,5.568552550529915e-09,7.810095255123397e-10,1.1967334287852455e-08,2.9969008404028645e-08,2.445963662267982e-07,9.808110770845645e-09,6.172250899545926e-10,2.8791996306756266e-09
ScaledConcentrations_absolute_uncertainties_Means,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ScaledConcentrations_absolute_uncertainties_StdDevs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ScaledConcentrations_relative_uncertainties_Means,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ScaledConcentrations_relative_uncertainties_StdDevs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ScaledConcentrations_absolute_uncertainties_Total,5.568552550529915e-09,7.810095255123397e-10,1.1967334287852455e-08,2.9969008404028645e-08,2.445963662267982e-07,9.808110770845645e-09,6.172250899545926e-10,2.8791996306756266e-09
