Temp,Ethylene (Ethene) Concentration Relative to CO
176.8481,0.27148182331670473
176.8945,0.27145461193436615
176.8788,0.27146381923399376
176.7941,0.2715134917358052
176.7974,0.27151155644352676
176.8505,0.2714804158314117
176.9009,0.27145085864025054
176.9665,0.2714123873755654
176.9055,0.27144816096010416
176.8099,0.27150422579095734
176.8533,0.27147877376523555
176.9335,0.271431740298349
176.881,0.2714625290391421
176.8105,0.2715038739196347
176.8207,0.27149789210713704
176.7429,0.271543518088731
176.7739,0.2715253380703583
176.8874,0.2714587757450253
176.8942,0.271454787870028
176.8326,0.2714909133258912
176.8189,0.27149894772110705
176.8509,0.27148018125052903
176.8443,0.2714840518350855
176.9281,0.2714349071402592
176.9268,0.2714356695281264
176.8664,0.27147109124134233
176.914,0.2714431761163574
176.883,0.27146135613473005
176.9234,0.2714376634656247
176.8343,0.27148991635714215
176.8869,0.27145906897112815
176.8666,0.2714709739509023
176.8004,0.27150979708691136
176.889,0.27145783742149715
177.0114,0.27138605567153506
176.8458,0.27148317215677753
176.9231,0.2714378394012872
176.9848,0.271401655300203
177.0193,0.2713814226991104
177.032,0.27137397475610003
176.9611,0.27141555421747454
176.8494,0.27148106092883817
176.9185,0.27144053708143195
176.8734,0.27146698607590397
176.9646,0.2714135016347564
176.9394,0.271428280230336
176.8496,0.27148094363839637
176.9133,0.27144358663290113
176.7969,0.2715118496696296
176.792,0.2715147232854369
176.7845,0.2715191216769788
176.8007,0.27150962115124844
176.9141,0.2714431174711368
176.8142,0.2715017040464735
176.7997,0.27151020760345485
176.7839,0.2715194735483028
176.8388,0.2714872773222168
176.9101,0.27144546327995944
177.0272,0.27137678972668666
177.0201,0.2713809535373458
176.969,0.2714109212450509
177.0026,0.27139121645094344
176.9059,0.27144792637922316
176.8848,0.27146030052076
176.8855,0.2714598900042162
176.9602,0.27141608202446
177.023,0.2713792528259505
176.9497,0.27142223977261853
176.8147,0.271501410820371
176.8542,0.2714782459582508
176.9009,0.27145085864025054
176.9337,0.2714316230079081
176.8691,0.2714695078203877
176.9353,0.27143068468437864
176.9734,0.2714083408553461
176.9555,0.27141883834982566
176.8202,0.27149818533324077
176.9251,0.2714366664968754
176.8746,0.2714662823332577
177.0054,0.2713895743847689
177.0023,0.2713913923866056
177.0163,0.27138318205572687
177.1247,0.2713876324219457
177.248,0.27179435671204405
177.2921,0.2719398274435392
177.5623,0.2728311243063487
177.7207,0.2723384020018436
177.9972,0.27277289229417
178.29,0.27553722808158604
178.6543,0.2729573601317055
179.0592,0.2756782842121521
179.3064,0.27622752618530705
179.7101,0.27083383110811404
180.1774,0.2751694588214307
180.5681,0.2756470434906175
180.8962,0.2677829649170985
181.384,0.27317168862027597
181.8506,0.2667258307104487
182.297,0.2662327522733498
182.8438,0.2741936167903039
183.2631,0.2707408051750558
183.6243,0.2755150557553932
184.0933,0.27673427150881236
184.5898,0.2730963627307039
185.0357,0.2773449589664794
185.4777,0.27262932849968996
185.9069,0.2757914671190074
186.4914,0.281787213516112
187.0203,0.28272462740584337
187.6229,0.286818331026752
188.1595,0.28798276207331064
188.6697,0.29042037061152076
189.3571,0.2886579425003754
189.9038,0.28896902483265186
190.5653,0.2900688266040005
191.2235,0.29539816951555414
191.9041,0.29044130108019606
192.46,0.30113486578943516
193.0445,0.29641102460110746
193.7611,0.2951802019091208
194.4817,0.3009702116249373
195.1538,0.3004008144558315
195.7753,0.30098750817203374
196.417,0.3003530376281616
197.0638,0.30051569189717264
197.6513,0.29541844982953747
198.3369,0.29626949656563223
199.1706,0.2807252916864832
199.7659,0.2811594892394805
